============================================================
Training for Load = 48 Erlangs
============================================================
state_size = 402 action_size = 810
Episode 1 | Load = 48.0 Erlangs
[offline] ep   1 | BP=0.0107 frag=0.2264 util=0.0373 QKD=0.9893 R=0.979
Episode 2 | Load = 48.0 Erlangs
[offline] ep   2 | BP=0.0107 frag=0.2381 util=0.0363 QKD=0.9893 R=0.979
Episode 3 | Load = 48.0 Erlangs
[offline] ep   3 | BP=0.0047 frag=0.2242 util=0.0347 QKD=0.9953 R=0.991
Episode 4 | Load = 48.0 Erlangs
[offline] ep   4 | BP=0.0073 frag=0.2262 util=0.0363 QKD=0.9927 R=0.985
Episode 5 | Load = 48.0 Erlangs
[offline] ep   5 | BP=0.0107 frag=0.2279 util=0.0361 QKD=0.9893 R=0.979
Episode 6 | Load = 48.0 Erlangs
[offline] ep   6 | BP=0.0067 frag=0.2299 util=0.0354 QKD=0.9933 R=0.987
Episode 7 | Load = 48.0 Erlangs
[offline] ep   7 | BP=0.0100 frag=0.2364 util=0.0382 QKD=0.9900 R=0.980
Episode 8 | Load = 48.0 Erlangs
[offline] ep   8 | BP=0.0087 frag=0.2347 util=0.0365 QKD=0.9913 R=0.983
Episode 9 | Load = 48.0 Erlangs
[offline] ep   9 | BP=0.0087 frag=0.2432 util=0.0386 QKD=0.9913 R=0.983
Episode 10 | Load = 48.0 Erlangs
[offline] ep  10 | BP=0.0040 frag=0.2229 util=0.0356 QKD=0.9960 R=0.992
Episode 11 | Load = 48.0 Erlangs
[offline] ep  11 | BP=0.0100 frag=0.2403 util=0.0375 QKD=0.9900 R=0.980
Episode 12 | Load = 48.0 Erlangs
[offline] ep  12 | BP=0.0127 frag=0.2385 util=0.0366 QKD=0.9873 R=0.975
Episode 13 | Load = 48.0 Erlangs
[offline] ep  13 | BP=0.0100 frag=0.2192 util=0.0370 QKD=0.9900 R=0.980
Episode 14 | Load = 48.0 Erlangs
[offline] ep  14 | BP=0.0073 frag=0.2295 util=0.0348 QKD=0.9927 R=0.985
Episode 15 | Load = 48.0 Erlangs
[offline] ep  15 | BP=0.0053 frag=0.2220 util=0.0345 QKD=0.9947 R=0.989
Episode 16 | Load = 48.0 Erlangs
[offline] ep  16 | BP=0.0047 frag=0.2194 util=0.0352 QKD=0.9953 R=0.991
Episode 17 | Load = 48.0 Erlangs
[offline] ep  17 | BP=0.0100 frag=0.2304 util=0.0367 QKD=0.9900 R=0.980
Episode 18 | Load = 48.0 Erlangs
[offline] ep  18 | BP=0.0087 frag=0.2417 util=0.0361 QKD=0.9913 R=0.983
Episode 19 | Load = 48.0 Erlangs
[offline] ep  19 | BP=0.0047 frag=0.2303 util=0.0355 QKD=0.9953 R=0.991
Episode 20 | Load = 48.0 Erlangs
[offline] ep  20 | BP=0.0067 frag=0.2262 util=0.0359 QKD=0.9933 R=0.987
Episode 21 | Load = 48.0 Erlangs
[offline] ep  21 | BP=0.0100 frag=0.2172 util=0.0349 QKD=0.9900 R=0.980
Episode 22 | Load = 48.0 Erlangs
[offline] ep  22 | BP=0.0013 frag=0.2145 util=0.0338 QKD=0.9987 R=0.997
Episode 23 | Load = 48.0 Erlangs
[offline] ep  23 | BP=0.0060 frag=0.2321 util=0.0387 QKD=0.9940 R=0.988
Episode 24 | Load = 48.0 Erlangs
[offline] ep  24 | BP=0.0080 frag=0.2292 util=0.0374 QKD=0.9920 R=0.984
Episode 25 | Load = 48.0 Erlangs
[offline] ep  25 | BP=0.0080 frag=0.2239 util=0.0362 QKD=0.9920 R=0.984
Episode 26 | Load = 48.0 Erlangs
[offline] ep  26 | BP=0.0133 frag=0.2301 util=0.0380 QKD=0.9867 R=0.973
Episode 27 | Load = 48.0 Erlangs
[offline] ep  27 | BP=0.0087 frag=0.2270 util=0.0365 QKD=0.9913 R=0.983
Episode 28 | Load = 48.0 Erlangs
[offline] ep  28 | BP=0.0073 frag=0.2211 util=0.0363 QKD=0.9927 R=0.985
Episode 29 | Load = 48.0 Erlangs
[offline] ep  29 | BP=0.0073 frag=0.2237 util=0.0365 QKD=0.9927 R=0.985
Episode 30 | Load = 48.0 Erlangs
[offline] ep  30 | BP=0.0093 frag=0.2323 util=0.0358 QKD=0.9907 R=0.981
[online] ep   1 | BP=0.0060 frag=0.2301 util=0.0364 QKD=0.9940 R=0.988
[online] ep   2 | BP=0.0080 frag=0.2296 util=0.0360 QKD=0.9920 R=0.984
[online] ep   3 | BP=0.0047 frag=0.2191 util=0.0342 QKD=0.9953 R=0.991
[online] ep   4 | BP=0.0073 frag=0.2292 util=0.0367 QKD=0.9927 R=0.985
[online] ep   5 | BP=0.0047 frag=0.2266 util=0.0358 QKD=0.9953 R=0.991
[online] ep   6 | BP=0.0040 frag=0.2385 util=0.0349 QKD=0.9960 R=0.992
[online] ep   7 | BP=0.0107 frag=0.2296 util=0.0367 QKD=0.9893 R=0.979
[online] ep   8 | BP=0.0087 frag=0.2329 util=0.0356 QKD=0.9913 R=0.983
[online] ep   9 | BP=0.0093 frag=0.2233 util=0.0377 QKD=0.9907 R=0.981
[online] ep  10 | BP=0.0033 frag=0.2375 util=0.0361 QKD=0.9967 R=0.993
[eval] ep   1 | BP=0.0127 frag=0.2405 util=0.0365 QKD=0.9873 R=0.975
[eval] ep   2 | BP=0.0040 frag=0.2300 util=0.0353 QKD=0.9960 R=0.992
[eval] ep   3 | BP=0.0100 frag=0.2346 util=0.0365 QKD=0.9900 R=0.980
[eval] ep   4 | BP=0.0093 frag=0.2427 util=0.0380 QKD=0.9907 R=0.981
[eval] ep   5 | BP=0.0073 frag=0.2414 util=0.0361 QKD=0.9927 R=0.985
WARNING:tensorflow:TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.


============================================================
Training for Load = 60 Erlangs
============================================================
state_size = 402 action_size = 810
Episode 1 | Load = 60.0 Erlangs
[offline] ep   1 | BP=0.0220 frag=0.2677 util=0.0441 QKD=0.9780 R=0.956
Episode 2 | Load = 60.0 Erlangs
[offline] ep   2 | BP=0.0260 frag=0.2653 util=0.0434 QKD=0.9740 R=0.948
Episode 3 | Load = 60.0 Erlangs
[offline] ep   3 | BP=0.0153 frag=0.2557 util=0.0429 QKD=0.9847 R=0.969
Episode 4 | Load = 60.0 Erlangs
[offline] ep   4 | BP=0.0200 frag=0.2607 util=0.0438 QKD=0.9800 R=0.960
Episode 5 | Load = 60.0 Erlangs
[offline] ep   5 | BP=0.0207 frag=0.2610 util=0.0427 QKD=0.9793 R=0.959
Episode 6 | Load = 60.0 Erlangs
[offline] ep   6 | BP=0.0153 frag=0.2509 util=0.0432 QKD=0.9847 R=0.969
Episode 7 | Load = 60.0 Erlangs
[offline] ep   7 | BP=0.0327 frag=0.2654 util=0.0453 QKD=0.9673 R=0.935
Episode 8 | Load = 60.0 Erlangs
[offline] ep   8 | BP=0.0247 frag=0.2680 util=0.0438 QKD=0.9753 R=0.951
Episode 9 | Load = 60.0 Erlangs
[offline] ep   9 | BP=0.0247 frag=0.2526 util=0.0444 QKD=0.9753 R=0.951
Episode 10 | Load = 60.0 Erlangs
[offline] ep  10 | BP=0.0167 frag=0.2567 util=0.0437 QKD=0.9833 R=0.967
Episode 11 | Load = 60.0 Erlangs
[offline] ep  11 | BP=0.0213 frag=0.2564 util=0.0442 QKD=0.9787 R=0.957
Episode 12 | Load = 60.0 Erlangs
[offline] ep  12 | BP=0.0307 frag=0.2592 util=0.0442 QKD=0.9693 R=0.939
Episode 13 | Load = 60.0 Erlangs
[offline] ep  13 | BP=0.0213 frag=0.2654 util=0.0430 QKD=0.9787 R=0.957
Episode 14 | Load = 60.0 Erlangs
[offline] ep  14 | BP=0.0200 frag=0.2425 util=0.0416 QKD=0.9800 R=0.960
Episode 15 | Load = 60.0 Erlangs
[offline] ep  15 | BP=0.0193 frag=0.2482 util=0.0419 QKD=0.9807 R=0.961
Episode 16 | Load = 60.0 Erlangs
[offline] ep  16 | BP=0.0153 frag=0.2605 util=0.0417 QKD=0.9847 R=0.969
Episode 17 | Load = 60.0 Erlangs
[offline] ep  17 | BP=0.0220 frag=0.2682 util=0.0449 QKD=0.9780 R=0.956
Episode 18 | Load = 60.0 Erlangs
[offline] ep  18 | BP=0.0207 frag=0.2583 util=0.0433 QKD=0.9793 R=0.959
Episode 19 | Load = 60.0 Erlangs
[offline] ep  19 | BP=0.0173 frag=0.2578 util=0.0421 QKD=0.9827 R=0.965
Episode 20 | Load = 60.0 Erlangs
[offline] ep  20 | BP=0.0167 frag=0.2579 util=0.0426 QKD=0.9833 R=0.967
Episode 21 | Load = 60.0 Erlangs
[offline] ep  21 | BP=0.0187 frag=0.2610 util=0.0418 QKD=0.9813 R=0.963
Episode 22 | Load = 60.0 Erlangs
[offline] ep  22 | BP=0.0100 frag=0.2517 util=0.0406 QKD=0.9900 R=0.980
Episode 23 | Load = 60.0 Erlangs
[offline] ep  23 | BP=0.0287 frag=0.2724 util=0.0460 QKD=0.9713 R=0.943
Episode 24 | Load = 60.0 Erlangs
[offline] ep  24 | BP=0.0280 frag=0.2732 util=0.0445 QKD=0.9720 R=0.944
Episode 25 | Load = 60.0 Erlangs
[offline] ep  25 | BP=0.0207 frag=0.2502 util=0.0433 QKD=0.9793 R=0.959
Episode 26 | Load = 60.0 Erlangs
[offline] ep  26 | BP=0.0227 frag=0.2681 util=0.0459 QKD=0.9773 R=0.955
Episode 27 | Load = 60.0 Erlangs
[offline] ep  27 | BP=0.0233 frag=0.2655 util=0.0435 QKD=0.9767 R=0.953
Episode 28 | Load = 60.0 Erlangs
[offline] ep  28 | BP=0.0193 frag=0.2635 util=0.0426 QKD=0.9807 R=0.961
Episode 29 | Load = 60.0 Erlangs
[offline] ep  29 | BP=0.0227 frag=0.2556 util=0.0429 QKD=0.9773 R=0.955
Episode 30 | Load = 60.0 Erlangs
[offline] ep  30 | BP=0.0247 frag=0.2596 util=0.0428 QKD=0.9753 R=0.951
[online] ep   1 | BP=0.0193 frag=0.2549 util=0.0436 QKD=0.9807 R=0.961
[online] ep   2 | BP=0.0240 frag=0.2586 util=0.0423 QKD=0.9760 R=0.952
[online] ep   3 | BP=0.0200 frag=0.2603 util=0.0412 QKD=0.9800 R=0.960
[online] ep   4 | BP=0.0180 frag=0.2476 util=0.0442 QKD=0.9820 R=0.964
[online] ep   5 | BP=0.0187 frag=0.2693 util=0.0430 QKD=0.9813 R=0.963
[online] ep   6 | BP=0.0160 frag=0.2772 util=0.0420 QKD=0.9840 R=0.968
[online] ep   7 | BP=0.0213 frag=0.2571 util=0.0434 QKD=0.9787 R=0.957
[online] ep   8 | BP=0.0240 frag=0.2478 util=0.0425 QKD=0.9760 R=0.952
[online] ep   9 | BP=0.0240 frag=0.2477 util=0.0445 QKD=0.9760 R=0.952
[online] ep  10 | BP=0.0167 frag=0.2706 util=0.0437 QKD=0.9833 R=0.967
[eval] ep   1 | BP=0.0200 frag=0.2764 util=0.0442 QKD=0.9800 R=0.960
[eval] ep   2 | BP=0.0147 frag=0.2566 util=0.0413 QKD=0.9853 R=0.971
[eval] ep   3 | BP=0.0187 frag=0.2657 util=0.0435 QKD=0.9813 R=0.963
[eval] ep   4 | BP=0.0247 frag=0.2735 util=0.0459 QKD=0.9753 R=0.951
[eval] ep   5 | BP=0.0187 frag=0.2499 util=0.0443 QKD=0.9813 R=0.963


============================================================
Training for Load = 90 Erlangs
============================================================
state_size = 402 action_size = 810
Episode 1 | Load = 90.0 Erlangs
[offline] ep   1 | BP=0.0720 frag=0.3202 util=0.0586 QKD=0.9280 R=0.856
Episode 2 | Load = 90.0 Erlangs
[offline] ep   2 | BP=0.0687 frag=0.3146 util=0.0565 QKD=0.9313 R=0.863
Episode 3 | Load = 90.0 Erlangs
[offline] ep   3 | BP=0.0560 frag=0.3146 util=0.0559 QKD=0.9440 R=0.888
Episode 4 | Load = 90.0 Erlangs
[offline] ep   4 | BP=0.0780 frag=0.3152 util=0.0570 QKD=0.9220 R=0.844
Episode 5 | Load = 90.0 Erlangs
[offline] ep   5 | BP=0.0733 frag=0.3202 util=0.0574 QKD=0.9267 R=0.853
Episode 6 | Load = 90.0 Erlangs
[offline] ep   6 | BP=0.0673 frag=0.3064 util=0.0555 QKD=0.9327 R=0.865
Episode 7 | Load = 90.0 Erlangs
[offline] ep   7 | BP=0.0767 frag=0.3034 util=0.0574 QKD=0.9233 R=0.847
Episode 8 | Load = 90.0 Erlangs
[offline] ep   8 | BP=0.0727 frag=0.3115 util=0.0578 QKD=0.9273 R=0.855
Episode 9 | Load = 90.0 Erlangs
[offline] ep   9 | BP=0.0633 frag=0.3125 util=0.0583 QKD=0.9367 R=0.873
Episode 10 | Load = 90.0 Erlangs
[offline] ep  10 | BP=0.0567 frag=0.3144 util=0.0573 QKD=0.9433 R=0.887
Episode 11 | Load = 90.0 Erlangs
[offline] ep  11 | BP=0.0807 frag=0.3150 util=0.0589 QKD=0.9193 R=0.839
Episode 12 | Load = 90.0 Erlangs
[offline] ep  12 | BP=0.0847 frag=0.3133 util=0.0574 QKD=0.9153 R=0.831
Episode 13 | Load = 90.0 Erlangs
[offline] ep  13 | BP=0.0713 frag=0.3331 util=0.0568 QKD=0.9287 R=0.857
Episode 14 | Load = 90.0 Erlangs
[offline] ep  14 | BP=0.0580 frag=0.3095 util=0.0544 QKD=0.9420 R=0.884
Episode 15 | Load = 90.0 Erlangs
[offline] ep  15 | BP=0.0527 frag=0.3078 util=0.0546 QKD=0.9473 R=0.895
Episode 16 | Load = 90.0 Erlangs
[offline] ep  16 | BP=0.0687 frag=0.3014 util=0.0556 QKD=0.9313 R=0.863
Episode 17 | Load = 90.0 Erlangs
[offline] ep  17 | BP=0.0767 frag=0.3195 util=0.0583 QKD=0.9233 R=0.847
Episode 18 | Load = 90.0 Erlangs
[offline] ep  18 | BP=0.0673 frag=0.3076 util=0.0570 QKD=0.9327 R=0.865
Episode 19 | Load = 90.0 Erlangs
[offline] ep  19 | BP=0.0680 frag=0.3140 util=0.0558 QKD=0.9320 R=0.864
Episode 20 | Load = 90.0 Erlangs
[offline] ep  20 | BP=0.0680 frag=0.3087 util=0.0558 QKD=0.9320 R=0.864
Episode 21 | Load = 90.0 Erlangs
[offline] ep  21 | BP=0.0633 frag=0.3011 util=0.0560 QKD=0.9367 R=0.873
Episode 22 | Load = 90.0 Erlangs
[offline] ep  22 | BP=0.0587 frag=0.2944 util=0.0547 QKD=0.9413 R=0.883
Episode 23 | Load = 90.0 Erlangs
[offline] ep  23 | BP=0.0853 frag=0.3265 util=0.0587 QKD=0.9147 R=0.829
Episode 24 | Load = 90.0 Erlangs
[offline] ep  24 | BP=0.0853 frag=0.3195 util=0.0581 QKD=0.9147 R=0.829
Episode 25 | Load = 90.0 Erlangs
[offline] ep  25 | BP=0.0707 frag=0.3107 util=0.0568 QKD=0.9293 R=0.859
Episode 26 | Load = 90.0 Erlangs
[offline] ep  26 | BP=0.0760 frag=0.3297 util=0.0604 QKD=0.9240 R=0.848
Episode 27 | Load = 90.0 Erlangs
[offline] ep  27 | BP=0.0727 frag=0.3008 util=0.0571 QKD=0.9273 R=0.855
Episode 28 | Load = 90.0 Erlangs
[offline] ep  28 | BP=0.0727 frag=0.3117 util=0.0587 QKD=0.9273 R=0.855
Episode 29 | Load = 90.0 Erlangs
[offline] ep  29 | BP=0.0753 frag=0.2888 util=0.0564 QKD=0.9247 R=0.849
Episode 30 | Load = 90.0 Erlangs
[offline] ep  30 | BP=0.0707 frag=0.2852 util=0.0556 QKD=0.9293 R=0.859
[online] ep   1 | BP=0.0660 frag=0.2943 util=0.0576 QKD=0.9340 R=0.868
[online] ep   2 | BP=0.0720 frag=0.3147 util=0.0566 QKD=0.9280 R=0.856
[online] ep   3 | BP=0.0647 frag=0.2952 util=0.0544 QKD=0.9353 R=0.871
[online] ep   4 | BP=0.0707 frag=0.3161 util=0.0574 QKD=0.9293 R=0.859
[online] ep   5 | BP=0.0693 frag=0.3113 util=0.0572 QKD=0.9307 R=0.861
[online] ep   6 | BP=0.0633 frag=0.2943 util=0.0561 QKD=0.9367 R=0.873
[online] ep   7 | BP=0.0707 frag=0.3180 util=0.0574 QKD=0.9293 R=0.859
[online] ep   8 | BP=0.0660 frag=0.3074 util=0.0567 QKD=0.9340 R=0.868
[online] ep   9 | BP=0.0827 frag=0.3184 util=0.0570 QKD=0.9173 R=0.835
[online] ep  10 | BP=0.0760 frag=0.2988 util=0.0566 QKD=0.9240 R=0.848
[eval] ep   1 | BP=0.0673 frag=0.3125 util=0.0580 QKD=0.9327 R=0.865
[eval] ep   2 | BP=0.0593 frag=0.2927 util=0.0551 QKD=0.9407 R=0.881
[eval] ep   3 | BP=0.0567 frag=0.3014 util=0.0572 QKD=0.9433 R=0.887
[eval] ep   4 | BP=0.0800 frag=0.3115 util=0.0589 QKD=0.9200 R=0.840
[eval] ep   5 | BP=0.0720 frag=0.3217 util=0.0579 QKD=0.9280 R=0.856


============================================================
Training for Load = 120 Erlangs
============================================================
state_size = 402 action_size = 810
Episode 1 | Load = 120.0 Erlangs
[offline] ep   1 | BP=0.1313 frag=0.3744 util=0.0696 QKD=0.8687 R=0.737
Episode 2 | Load = 120.0 Erlangs
[offline] ep   2 | BP=0.1260 frag=0.3665 util=0.0668 QKD=0.8740 R=0.748
Episode 3 | Load = 120.0 Erlangs
